id,token0_symbol,token0_id,token1_symbol,token1_id
0x01688e1a356c38a8ed7c565bf6c6bfd59543a560,BFC,0x0c7d5ae016f806603cb1782bea29ac69471cab9c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x0b0d6c11d26b58cb25f59bd9b14190c8941e58fc,OVR,0x21bfbda47a0b4b5b1248c767ee49f7caa9b23697,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcab335e1964363e48a790da303b74ec02d3f8fb2,DFYN,0x9695e0114e12c0d3a3636fab5a18e6b737529023,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x459e4eeafb9e5d7299bbbcd5b6ab36667ffe3597,F9,0x38a94e92a19e970c144ded0b2dd47278ca11cc1f,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x454f11d58e27858926d7a4ece8bfea2c33e97b13,LDO,0x5a98fcbea516cf06857215779fd812ca3bef1b32,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xaadb00551312a3c2a8b46597a39ef1105afb2c08,AXN,0x71f85b2e46976bd21302b64329868fd15eb0d127,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x798e2a8e17149a41df3c6b32f97ba9f8557aeb6c,Hook,0x6a1ab772a1fd1140b1f2ae1e1cf854576f183694,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xc0897d6ba893e31f42f658eead777aa15b8f824d,MAHA,0xb4d930279552397bba2ee473229f89ec245bc365,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x37a0464f8f4c207b54821f3c799afd3d262aa944,DEXT,0x26ce25148832c04f3d7f26f32478a9fe55197166,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54,SRM,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
